"Wavelength","X800","X797","X794","X791","X788","X785","X782","X779","X776","X773","X770","X767","X764","X761","X758","X755","X752","X749","X746","X743","X740","X737","X734","X731","X728","X725","X722","X719","X716","X713","X710","X707","X704","X701","X698","X695","X692","X689","X686","X683","X680","X677","X674","X671","X668","X665","X662","X659","X656","X653","X650","X647","X644","X641","X638","X635","X632","X629","X626","X623","X620","X617","X614","X611","X608","X605","X602","X599","X596","X593","X590","X587","X584","X581","X578","X575","X572","X569","X566","X563","X560","X557","X554","X551","X548","X545","X542","X539","X536","X533","X530","X527","X524","X521","X518","X515","X512","X509","X506","X503","X500","X497","X494","X491","X488","X485","X482","X479","X476","X473","X470","X467","X464","X461","X458","X455","X452","X449","X446","X443","X440","X437","X434","X431","X428","X425","X422","X419","X416","X413","X410","X407","X404","X401","X398","X395","X392","X389","X386","X383","X380","X377","X374","X371","X368","X365","X362","X359","X356","X353","X350","X347","X344","X341","X338","X335","X332","X329","X326","X323","X320","X317","X314","X311","X308","X305","X302","X299","X296","X293","X290","X287","X284","X281","X278","X275","X272","X269","X266","X263","X260","X257","X254","X251","X248","X245","X242","X239","X236","X233","X230"
245.598,-0.005920996,0.00485434,-0.01029984,-0.01145371,-0.009493732,-0.00797494,-0.003618357,-0.005597331,-0.003393125,-0.01192207,0.001743546,-0.0001937695,0.001938435,-0.002476981,-0.004621553,0.005238733,-0.001386284,0.001356704,-0.003656413,-0.002262805,0.0003198768,0.003270227,-1.803797e-05,-0.0008151216,-0.001023579,-0.0003438711,-0.001261279,-0.00130504,-0.001470047,-0.001173434,0.002250205,0.002162749,-0.002338139,-0.001287079,-0.004312909,-0.001840631,0.0007531785,-0.005375435,0.00178063,-0.001540801,-0.001650471,0.003823988,0.001939278,0.0002520481,-0.002402056,-0.000740327,-0.001260855,-2.428118e-05,-0.00309192,-0.00219048,-0.0005397984,-0.003187368,-0.0009676801,-0.001619721,-0.0009382143,-0.00168995,-0.001244503,-0.0005078035,-0.002213344,-0.002671169,-0.0004276227,-0.001009333,-0.002099291,-0.001494537,-0.001600028,-0.0005435131,-0.0007756822,-0.001269723,0.001768632,0.002168438,0.0001806865,-0.001946188,-0.001933038,-0.001147354,-0.001689376,-0.0007175806,-0.0006337838,-0.0008978723,-0.001139713,-0.001329273,-0.0009221151,0.001951217,-0.0002201067,-0.0001759485,-0.0001142202,-0.0002123517,0.0003381976,-0.0002277273,-0.001223296,0.001072163,-0.0006425402,-0.0005426329,-0.0002775857,0.001052886,0.0007831682,-0.0002322227,0.0002830194,-0.0007009974,-0.0001771853,-0.0002102019,-0.0001642917,-0.0001816893,-0.0005071582,-0.0008655614,0.0005047943,-0.0002243138,-0.000241056,-0.0007176341,0.0001125329,-0.0001584431,-0.000262217,0.0001620062,-8.10737e-06,-0.0003267782,-2.505476e-05,-3.898387e-06,0.0001558531,0.0001531201,2.449051e-06,-0.0002408904,-0.0001650842,-0.0001233225,0.0005729209,-0.0001760481,0.0004590628,-0.0005360146,-0.0006826699,-0.0003696475,0.000310094,7.002475e-07,0.0004081337,-0.0006866426,-0.0001757094,-0.0006530196,-0.0007627256,-0.0004118746,-0.0006974633,-0.0005460089,0.0002110734,0.0004533781,0.0002174971,9.262357e-06,-0.0002904136,-0.0007740191,0.0003903552,-0.0003652397,-0.0008689357,-0.0003383294,-4.867378e-05,-0.0008865961,-0.0003777138,-0.0002012076,-7.54489e-05,0.0004863263,0.0003714958,0.0001474461,0.0007321279,-3.589731e-05,0.0003526005,6.063439e-05,0.0005408046,0.00201455,0.0013844,0.0009578644,0.001924201,0.0007804937,0.00197035,0.0007622746,0.001092809,0.002154134,0.002913252,0.007156766,0.01365011,0.01593156,0.01680557,0.02267721,0.01936959,0.02076902,0.01507822,0.02020313,0.02768438,0.03762431,0.06832515,0.2461813,1.173469,2.485714,2.822758,1.232181,0.2627764,0.0787095,0.1880738
247.837,0.005214862,0.01540172,0.002017896,-0.003672904,0.002462176,-0.0002694347,-0.002499835,-0.001723688,0.002542571,0.005411215,-0.0007786126,0.002945705,0.0008439759,0.005986881,0.001473139,0.0002130669,0.001200694,0.002821018,-0.001467543,0.001125759,-0.002283009,-0.001680191,-0.0007976137,-0.0005868973,-0.0006933474,0.001944908,0.0001378277,0.000589455,-0.001895962,0.003328931,0.003626028,-0.0001196806,-0.002939703,-0.001940612,-0.003266304,0.0009630422,-0.0002509585,0.002151957,0.001099457,0.0001624614,-0.0003317475,0.006438149,-0.004196064,-0.0002198681,0.0008942921,-0.002908616,0.004187904,-0.001456666,0.000920461,0.002936217,0.005017268,0.002215683,-0.003002512,-0.001143133,-0.004684114,-0.0002067,0.0002979665,0.003069036,-0.001846733,0.0001098116,0.001058931,0.002520752,0.002753096,-0.0003860505,0.001896476,0.0006418269,0.0004155409,0.0002682038,-0.002181334,0.0004974784,0.000239852,1.513685e-05,0.0006988372,0.0006180791,0.0009898499,0.002127148,0.001677852,0.0003657567,-5.370083e-05,0.0006602804,0.0007798923,0.0001548072,-0.0008528083,0.0002366086,0.0001205761,-0.0007220902,0.0005711917,-0.0007830535,0.001530521,0.0002520163,0.0008129872,-0.0001110488,0.0005344529,0.0003792265,-0.0009531839,-0.0001050145,-0.0003234793,0.0006532785,9.47472e-05,0.0009694345,0.000218453,0.0003589637,-9.94431e-05,8.993823e-05,0.0005723286,0.0003409531,0.0001437684,-0.0004217569,0.0003737141,-4.638822e-06,9.864138e-05,0.0004406958,0.0003695412,5.003752e-05,-0.0001763467,0.0001105295,0.0004063135,-0.0001514879,7.206143e-05,-0.0001148683,0.00017112,-0.0005713495,0.000285873,0.0006611812,-0.0002245996,-0.0005494523,-4.306148e-05,0.0001758899,3.68709e-05,0.0006599622,0.0002411754,0.001112788,0.0005453195,0.0002834553,0.0001276308,0.001148526,-0.000162389,0.0006088978,-0.0002150171,0.0001380424,0.0004509893,0.000349239,0.0004752128,-0.0004594806,0.0006550317,3.273576e-05,1.584527e-05,0.001008782,1.887017e-05,0.001168369,0.0004652357,0.0006901071,0.0008625806,0.0009613511,0.0005189748,0.0008686026,0.001002795,0.0007388394,0.00113038,0.001259296,0.002176613,0.001030733,0.00113509,0.0017306,0.00241667,0.00111187,0.002698543,0.002650597,0.002610049,0.005483846,0.006955756,0.01254783,0.01501032,0.01907472,0.0206684,0.01959193,0.01683662,0.02217948,0.02184285,0.0286562,0.03576204,0.05410461,0.1600534,0.8322321,2.223374,2.733151,1.470902,0.4543904,-0.2237488,0.06294079,2.454866
250.076,0.01244144,0.004271971,0.001440126,0.007290009,-0.004560566,0.01309807,0.002525923,0.01172162,-0.002919341,0.0008299455,0.003678054,0.001389739,-0.003676189,0.009176466,-0.003315013,0.0005110227,0.003520576,0.00272342,0.0004611976,-0.003917833,0.001014012,0.001339441,-0.0006972404,0.001785409,0.002670774,-0.0002567283,-0.0005787158,0.0002679693,0.002319658,-0.0006318944,0.003031556,0.003284461,-0.0003013278,0.004504288,-0.009537791,0.004523677,0.005866654,0.004235062,0.007088989,0.004294793,0.003538774,0.004966658,0.005338801,0.0003920466,0.001005553,0.001065564,-0.000124927,-0.001554134,0.004427295,0.002271628,0.002940152,0.002570166,-0.003067181,0.0009254948,0.002696855,0.0004880631,-0.001333925,-0.001834213,0.002525063,0.002320725,0.003269373,0.0008809577,0.005760459,9.891121e-05,0.001288267,0.001151793,-0.0006912941,0.0006127961,0.002921938,0.001863823,-0.0001974349,0.004928651,-0.0002219645,-0.0001100331,0.003167026,0.0007416888,-0.001645,0.001379733,0.001906277,0.001780321,0.002799954,0.0006086857,0.001328341,0.003134033,-0.0006559694,0.0001191323,0.0001939768,0.001639549,0.000252399,-3.117365e-05,0.001760672,0.0009370058,0.0007342017,0.001034488,0.0003652487,0.0004664773,0.0008392072,-0.0004112137,-0.0006879635,0.0005448412,0.000386823,5.973625e-05,0.0005249544,0.0008690269,0.001385187,0.001363645,0.0005298795,0.000251325,1.931729e-06,0.000109399,0.0003007225,0.0002976912,0.0001658413,9.332154e-05,0.0003342616,0.0009995439,0.0004702853,-9.970127e-05,-0.0003872405,0.0001073212,-0.0001820762,0.0009352399,0.0007797607,0.0003270018,-3.336798e-05,0.0003488167,0.0006602823,0.0001262576,0.000712947,0.001275452,0.001065282,-0.0001817638,-0.0004806559,0.001954921,0.00043422,6.681839e-05,0.001150966,0.0008715909,0.0003526873,0.001647731,4.646325e-05,0.0004621308,-0.0001459611,0.0004953515,7.461747e-05,0.001049017,0.001215537,0.0008691073,0.001356653,0.0002564198,-5.528764e-05,0.0008658971,0.0007768282,0.0006083401,0.001284893,0.000137467,-0.0002088021,0.002150942,0.001989651,0.002153998,0.002698338,0.002068985,0.00313304,0.00388173,0.004185037,0.001841182,0.004010171,0.003819804,0.00626315,0.007720945,0.0103138,0.01931515,0.02654296,0.03087579,0.02460906,0.0262734,0.02809748,0.02787789,0.02959326,0.03895809,0.05794889,0.1494574,0.7745811,2.35536,3.34983,2.222603,0.586175,0.149137,0.4189259,0.2917996,-0.8975171
252.317,0.01363928,0.002223061,-0.004077961,0.0008547381,0.01196616,-0.005708396,-0.006520872,-0.004426358,-0.0009260771,-0.003284227,0.001012432,-0.002644317,0.001167085,0.002104624,0.004800037,0.0009408833,0.004628716,0.002754523,-0.0009926479,0.003634735,-0.003540264,0.001126615,0.0003260241,0.001614907,-9.017407e-05,-0.0006335733,0.001676561,0.001726447,-0.0004363636,0.00127691,0.0003102571,-0.002685849,-0.002875705,-0.007593047,0.0003349076,0.001066484,-0.002816602,0.002286634,0.009410939,-0.001555384,-0.002311614,0.001598116,0.0007778198,-0.001873893,-0.0005155052,-0.003071383,0.001713963,-0.003301152,0.001114778,0.0008084732,-0.003595681,0.0009398956,0.002863228,0.0003647857,0.005027672,0.002022403,-0.0004118394,0.001428842,0.003290139,0.001117433,0.002318046,-0.003189104,0.001718027,0.001711061,-0.001749749,0.001004392,-0.001130215,0.001904597,0.0003624097,-0.001427782,0.00203455,0.0004389351,-0.0008126484,0.0001340289,0.0005737255,0.000432811,0.001224265,-0.0001764774,0.0004380639,0.0005991448,0.002666722,-0.0002736466,-0.0009970588,0.0008806762,-0.0004403514,0.001179995,-0.0002024279,0.002019459,-0.0008263828,0.0007329846,-0.0006114614,0.0002774058,0.0005084679,0.0006690516,-0.0008277211,-0.0006277197,0.0004690725,0.001375573,0.0004205447,-0.000419099,-0.000578262,0.0004670419,-0.0004041203,-0.0002006623,-0.000260895,-8.770654e-05,-0.0007228339,0.0007606191,-7.887374e-05,-9.445461e-05,-5.595371e-05,-0.0001341267,-0.000306669,0.0006001481,6.070778e-05,0.0003836112,8.245212e-05,0.0003252072,0.0002381307,0.0007824547,0.0005058118,4.457075e-05,0.0007916871,-0.001028178,2.332862e-05,-0.0008046759,0.0009929738,-0.0001389369,0.0006896331,-0.001079698,-0.0002030748,0.0003362553,-0.001021553,-0.0002205911,-0.0006432093,-4.055745e-05,0.0001199092,-0.0001047156,0.0009767272,-0.0001623726,0.001079407,-0.000761535,0.00146999,0.0004238949,0.0001905274,0.0004292578,-5.151467e-05,0.0007968636,0.0006857068,0.0004011994,0.0007720321,0.0002639643,0.0006199892,0.0008843463,-0.0001949965,6.053571e-05,0.0006109893,0.002151688,0.001310715,0.0008725205,0.001571721,0.002596644,0.0026578,0.001438005,0.003935257,0.001447192,0.003294605,0.003810678,0.00664033,0.01352295,0.01416434,0.02317914,0.02604796,0.02684428,0.02494516,0.02864849,0.03018805,0.02594283,0.04372481,0.05123864,0.1035397,0.5005429,1.948335,3.113323,2.415032,0.755861,0.1338633,-0.03232425,0.09674619,-0.1465864,0.2183469
254.558,0.00786615,-0.007236725,0.001824802,-0.004069434,-0.005789269,0.001982247,-0.01474333,-0.003275997,-0.007625953,-0.00624662,-0.002045478,-0.0001860068,-0.004386156,0.000241847,-0.0008359998,0.0001171209,-0.002476568,-0.004258378,-0.0005831908,-0.0005794314,1.640608e-05,-0.0001599843,-0.001294731,0.001127872,-0.001261691,0.000213849,-0.0003227766,-0.000126577,-0.001021185,-0.001327967,-0.002394029,0.003016387,-0.003225673,0.003106242,0.002083229,0.001980359,-0.0005149193,0.00454551,-0.001104843,0.0009288635,0.002013052,0.002779386,0.003371373,-0.004626327,-0.003957677,0.003122676,0.003053364,0.0008952818,0.005440304,-0.002892563,0.001817006,0.003417429,-0.001418421,0.001586692,-0.000776753,-7.704549e-05,-0.002167346,0.001678895,-0.002554194,0.001477424,-0.002207182,0.002752923,-0.0006368602,0.0006201276,0.0006657657,0.00137391,0.0004918738,0.0002700567,-0.003181354,0.001256222,0.001297786,0.001461295,0.001457388,-0.0009858686,7.105773e-05,-0.0005341169,0.00190057,0.0006749668,0.002052466,0.004343604,-0.0009348837,-0.001033482,-0.002350156,0.0003753005,0.0008471821,-0.001089361,0.00180006,0.0007371093,-0.0001554612,-0.0009797852,0.0003161901,-6.132091e-05,-0.0002188694,-0.002164429,-0.0002356749,0.0004787385,0.000415558,-0.0004891237,-0.0009390067,0.0004837737,-2.347774e-05,-0.000728675,0.0005300704,-9.034149e-05,0.0003649865,0.0003367138,-0.0002727316,7.908051e-05,0.0002908755,-0.0002465731,0.00017245,-0.0001444566,-0.0001021599,-0.000135268,0.0003818649,9.232976e-05,0.0001019743,0.0001648108,0.0002976218,-0.0002550397,-0.0006112041,5.462322e-05,0.0007345418,0.0008457768,-0.0003152897,0.0002476298,0.0006340508,0.0004493859,9.253982e-06,-0.000842336,0.0003944597,0.0009044562,-6.343039e-06,0.001474344,-5.24611e-05,9.969101e-05,0.0006137083,0.000621627,9.077163e-05,0.0006367301,0.001007899,-6.666896e-06,0.0002467543,0.001376149,-0.0003428309,0.0008113979,-8.742686e-05,-9.294522e-05,0.00103135,0.0008922327,-0.0001528418,0.0007110973,0.0008815939,0.0009262449,0.001434778,0.001165207,0.0008329305,0.001442792,0.0007819882,0.001142626,0.001145187,0.001161062,0.001229939,0.001465404,0.003337147,0.002009535,0.004735707,0.0060524,0.009749611,0.01264351,0.02006431,0.02659407,0.02865321,0.02549556,0.02470753,0.03049417,0.02854437,0.03166006,0.03977989,0.06641893,0.3031088,1.380405,2.838921,2.501532,0.9678853,0.1660879,0.0835541,0.08574328,0.06364793,-0.1291971,-1.134444
256.8,-0.01165203,-0.001631984,-0.007914619,-0.01286095,-0.008556635,0.005342096,-0.007161103,0.0002781446,0.003702175,-0.007525786,-0.00289025,-0.001008373,0.001891555,-0.00286698,-0.001515756,0.00193103,-0.006267403,-0.001396871,-0.003224908,-0.0008378273,-0.005016576,-0.001329989,-0.002025861,-0.002630315,-0.003928068,-0.0009918625,-0.002263666,-0.001245323,-0.002149273,-0.0004137907,-0.002458754,-0.008981177,-0.005271553,-0.007600559,-0.01088232,-0.004835215,-0.002217569,-0.008526194,-0.004298781,-0.008344543,-0.003830422,-0.0009734868,-0.005131703,-0.002484266,-0.008125463,-0.005984851,-0.0006983558,-0.002370861,-0.006834169,-0.003394068,-0.007193257,0.0006853815,-0.005125368,0.000296196,-0.003923211,-0.001991252,-0.00296934,0.002210351,-0.003191193,-0.004273162,-0.002305368,-0.003579635,-0.0053968,-0.004961835,-0.002963806,-0.004729199,-0.002209397,-0.002393057,0.0008201473,0.001646137,-0.00124846,-0.0004189757,-0.002823207,-0.0003666739,-0.002659925,-0.002286511,0.001446742,-0.002766758,-0.0001915508,-0.002399237,-0.001302189,-0.002307487,0.0009045407,-0.002910207,-0.001110987,0.0005015904,-0.001059713,-0.002105351,-0.0002799468,0.0006825332,-0.001429122,-0.0003547369,0.0007587296,0.0007904272,-0.002326886,-0.001453291,-0.001753759,-0.0003104803,-0.001038835,-0.0003607905,-0.001050197,-0.001139641,0.0001268933,-0.0001401897,-0.0003114438,-0.0002461855,-0.0002596705,-0.0001040965,-0.000288123,-0.0001482843,-0.0006859661,3.8194e-05,-0.0002398316,-7.635501e-05,-0.0004477773,-0.0004926707,-0.0007245791,-0.0005873454,0.0003976918,-0.0002094856,-0.001411235,-0.0006157157,0.0004070215,-0.0004425291,0.0002305426,-0.0006080007,-0.001007103,-0.0004652627,-0.0006351493,-0.0008894172,6.843885e-05,-0.0007100422,-0.0001773543,-0.001285656,-0.0008079658,-0.0001658709,0.0005148671,-0.0004128915,-0.001363535,-0.0007286438,-0.0006701884,0.0005846742,-0.001354959,-9.748885e-05,-0.001091312,-9.933499e-05,-0.0004996065,-0.0001145007,0.0006832765,-0.0001079656,-0.001137392,-0.0008003297,-0.0009218942,0.0003320576,-2.443404e-05,0.001132157,0.0009258624,0.0006014305,0.0004365672,9.566765e-05,0.000710501,-0.001002627,0.001474288,0.0007790965,0.002236447,0.001329241,0.004430747,0.006778838,0.01357602,0.01674296,0.02191056,0.02536299,0.02828063,0.02580896,0.02455467,0.02523301,0.02767376,0.03722621,0.05876312,0.1948739,0.9995223,2.523431,2.670916,1.211443,0.1981335,0.07864562,0.01349952,-0.07390329,-0.1970109,-0.8732831,-5.847664
259.043,0.01487233,0.002562806,0.00192709,0.01690001,-0.0006386096,0.00174908,0.01114349,0.01000271,-0.001684338,0.00563401,-0.002031073,-0.002352778,0.001297955,0.004733698,-0.003100124,0.002018318,-0.002927121,0.004850369,0.002820651,0.0022845,0.00254932,0.004450171,0.001828051,-0.0009114539,-6.186625e-05,-0.00156725,-0.0003964073,0.001984353,-0.0009453448,0.001143214,0.003115557,0.004970807,-0.002796912,0.005768273,0.006187191,0.008591922,0.0002555638,0.002249441,0.0008704244,-0.004454658,-0.005056047,-0.001121365,0.006829225,0.0002110068,-0.0003488967,0.0006948149,0.000127886,-0.002128846,0.005680098,0.001009053,0.0008874038,-0.003125384,0.005173316,0.007502695,0.006065096,-0.001077091,0.002140174,-0.001436749,0.00478534,-0.002875215,-0.001225935,-0.001086005,0.005056672,0.003962155,-0.002287343,-0.00045227,0.001232597,-0.0001037811,0.001970683,0.0003556363,0.0003711641,-0.001621302,0.003241262,0.001629546,0.0007919109,-0.000923789,0.001387497,0.001618623,0.0003604914,-0.002481919,0.0006646031,0.0004769564,-0.0002958731,0.00263267,0.0005429943,0.002342363,-8.899156e-06,0.0001737822,-0.001225677,-4.30045e-05,0.0007430716,0.0002374994,0.001090538,0.00331468,-3.470922e-05,-0.0001148541,0.001116822,0.0008937548,-0.0001308084,-0.0005019794,-5.516366e-05,0.001276757,2.144011e-05,0.0005726755,0.0003235443,0.0009390427,0.0002835307,0.0005764108,0.001123524,0.0006594162,3.816475e-05,0.0001959066,0.000724677,0.0002961683,0.0002525722,0.0009285747,-1.331895e-05,0.0006409926,-7.940707e-05,0.0001903934,0.000247633,0.000146459,0.0007448048,0.000529526,-0.0002142169,0.000756448,0.001196595,0.001190426,0.0007810192,0.0002758351,0.001187689,0.0004738614,0.0009213692,0.001297411,0.0009512095,0.001236252,4.67032e-05,0.001944723,0.0009924516,0.001185029,0.001616503,0.0004342975,0.001071537,0.0005005754,0.0004114906,-2.83412e-05,0.0001453691,0.000221676,0.0003850404,0.001314729,0.0005107255,0.0007039988,0.0005046522,0.001538242,0.0009036576,0.001498551,0.00174516,0.001507566,0.001643407,0.002275316,0.001752556,0.001868424,0.001772408,0.003611436,0.002995194,0.005039291,0.006544388,0.01261614,0.01843255,0.02114561,0.0268437,0.02845048,0.03482784,0.03091586,0.02659275,0.03443697,0.04155225,0.0614002,0.1275496,0.6824172,2.142473,2.809843,1.523632,0.3345643,0.08036947,0.06947185,-0.01327435,0.08404334,-0.09762994,0.2353791,-0.3108102
261.287,-0.02434468,-0.003101197,-0.004665969,-0.004209949,-0.007385682,-0.01661525,-0.01490141,-0.01538859,-0.005065398,-0.002316113,-0.0077327,-0.009032375,-0.001056165,0.0009395534,-0.00514915,-0.00687462,-0.003898258,-0.006954231,-0.005791985,-0.005388179,-0.001300019,-0.005072523,-0.003648266,-0.002192122,-0.002228314,-0.003824015,-0.00149795,-0.004182287,-0.002098472,-0.002960423,-0.004000084,-0.003168499,-0.003060816,-0.01113411,-0.008801862,-0.004870562,-0.008414001,-0.00666919,-0.0003474311,-0.006303641,-0.008570389,-0.005686202,-0.004454071,-0.004164011,-0.005093205,-0.007934846,-0.006095437,-0.008559932,-0.006284416,-0.005413912,-0.003034866,0.001851604,-0.005334951,-0.002893491,-0.001403235,-0.002074684,-0.004573567,-0.00405879,-0.002137739,-0.001658778,-0.006160296,-0.006364385,-0.003341602,-0.004004231,-0.002571669,-0.001681744,-0.001745965,-0.002402906,8.565917e-05,-0.001160077,-0.002498166,-0.002500246,-0.000284113,-0.002486978,-0.002039818,-0.002540543,-0.002762765,-0.003755165,0.001532604,-0.0007130479,-0.001083443,-0.001011746,-0.002470576,0.0009377929,9.994046e-05,-0.001593499,-2.989768e-05,-0.002232728,-0.001904319,-0.001531198,-0.001411346,-0.000537738,-0.001262891,-0.001856951,-0.0007784605,-0.002766902,-0.0002763814,-0.001576083,-0.0007175447,-0.0005998368,-0.0008438601,-0.001251306,-0.0002185477,-0.0008993972,-0.0009021167,-0.001546092,-0.0007920935,-0.0007176045,-0.0003621504,-0.0006694972,-0.0001337155,-0.0009445612,-0.0001127416,-0.0006073661,0.0006361385,-8.415335e-05,-0.0004885535,-0.0003846002,-0.0006079334,-0.0001620279,-0.0001192446,-0.0002032179,-0.0008228349,-0.000739523,-0.0008753367,-0.0001059724,-0.0003926302,-0.000252071,-0.0007476347,-0.001018933,0.0003838276,-0.0001947427,-0.001850221,-0.0006124075,-0.001075227,-0.001725956,-0.0002229341,-0.0003622129,-0.002219281,-0.0005182929,-0.0003629301,-0.000613255,-0.0002811489,-0.0009634247,-0.0005780917,-0.0009431312,-0.0007034754,-7.470066e-05,-0.0004558519,-0.0001940674,0.000226404,-0.0008338925,0.001071859,-0.0004656699,7.785258e-05,0.0006056706,-3.306348e-05,0.0009353592,0.0006209464,0.0005493162,0.001752401,0.0009757281,0.0009177424,0.001719734,0.0003579256,0.003965681,0.01256347,0.01484026,0.01960053,0.02794367,0.02714199,0.03324696,0.02946985,0.02898576,0.03178894,0.03574418,0.04881059,0.08964886,0.4413936,1.623844,2.633873,1.801924,0.4452132,0.05878398,0.04333464,0.009711053,0.01298385,-0.1428375,-0.02705379,-0.5538262,-3.466413
263.532,-0.001831511,0.007829104,-0.007737573,0.005649396,-0.0002486451,-0.0006378423,-3.836971e-05,-0.00577105,-0.004757257,-0.001431563,-0.005214849,0.002716074,-0.002589325,0.001661702,0.006833096,0.0008677186,-0.001037011,-0.001694374,-0.001902592,0.002164349,-0.002216886,-0.0009064463,0.001437794,-0.0005537891,0.001028212,0.002088371,0.000876166,0.001032739,0.0009167367,0.002892944,-0.001226876,-0.005070963,0.0007688095,-0.004535664,0.00664203,-0.008539032,0.004317159,-0.003136854,-0.007369218,0.00348929,-0.001138047,0.002456802,-0.003104014,-0.0003969595,0.0009145137,0.004366309,-0.001344726,0.002996313,0.003252833,-0.0002903624,0.001581823,-0.003184404,-0.001889589,9.172195e-05,-0.0002094205,-0.001722157,-0.003606557,-0.001915171,-0.001281836,0.0001374562,-0.00225635,-0.001162636,0.001009498,0.004390929,0.00125291,0.0008459773,-0.001137122,-0.005056338,-0.0008304243,-0.0004204373,-0.003652148,-0.003577708,0.0006623473,0.002617068,-0.0007305749,-0.001826817,0.001954108,0.001243436,-0.00038385,0.001874496,0.0002229877,-0.0003651179,-0.0001627081,0.000431093,0.0002148458,-0.0001883726,0.002146629,-0.000362987,-0.0004489209,-0.001929102,-0.0002126906,0.0004421096,-0.001990841,0.0009580563,-0.001733604,-0.001297643,0.001126918,0.0008853012,-0.0003187699,-0.001141436,0.0005424058,-0.0007184623,-6.080644e-05,0.0001219625,-0.0006625562,0.0003038001,-3.039928e-05,0.0002503666,0.0003222848,0.0001917357,0.0001308159,0.0001826447,0.0003483422,0.0004338656,-0.0002088628,-0.0004017773,-0.0002318348,-0.0004886913,0.000222753,-0.0004494725,-0.0002666784,-0.001155651,-0.0006721571,-0.0003610557,0.0004938844,0.0002076561,0.0007701547,0.000327438,0.0003345856,0.001112741,-0.0001487112,-0.0002955085,0.0004813124,-6.279488e-05,0.0009465464,0.0006730402,1.9852e-05,-0.0005561072,-0.0001922536,0.0006045598,-0.0006664745,0.0003517392,0.001209629,-0.0006323801,0.0005435191,0.0006451265,0.0003109874,3.964018e-05,0.0002367311,0.001688811,0.001083079,0.000831522,0.0005709448,0.001686475,0.0007921499,0.0009911729,0.001406337,0.001831802,0.002437872,0.00170562,0.001402009,0.00210147,0.003210477,0.002964556,0.006592868,0.00994974,0.01327655,0.02054913,0.02605399,0.02978722,0.03439778,0.03146371,0.03318062,0.03205149,0.03502128,0.04699324,0.07984957,0.304911,1.212864,2.353912,1.917908,0.6463493,0.08689014,0.06607063,0.04308061,0.008352051,0.02497107,-0.2712749,0.2449589,0.3841069,0.2060598
265.778,0.009766985,0.01385251,-0.005791904,7.149554e-05,0.01201776,0.005554995,0.01389863,0.001582015,0.0002584142,-0.002191922,-0.0005029417,-0.0008128159,-0.003121446,0.007134596,-0.005145489,-0.0005048334,-0.005008859,0.0009741748,-0.003620805,0.0009082497,0.001043293,0.001140112,0.001052987,-6.57495e-06,0.0009779416,0.0004605175,0.00100531,0.00361497,-0.0002749157,0.0005435115,0.0001124019,0.005357338,0.0009315038,-0.002521259,0.00708835,0.006152305,0.000947343,-0.002897733,0.01018095,0.0001386703,-0.004355922,0.002641401,0.0007953621,-0.005947293,-0.004244602,0.001814889,0.00512531,0.0004512924,0.003889533,0.00229859,0.001752804,-0.003046248,-0.002220989,-0.0004517311,0.002308658,0.0007480461,-0.001353664,-0.000563229,0.002380362,0.002587439,-0.003425489,0.001776914,-0.0002206857,-0.0009020414,0.001809053,-0.0005694651,0.002362274,0.0006308879,0.0009393903,0.001183158,-0.0006660416,0.002184882,0.002384111,-0.0009873015,-0.001142416,0.002295322,-0.001122909,-0.0005658746,-0.0006480199,0.0004976118,-0.0002602816,0.0003420946,0.001186635,0.0001807176,0.001025728,0.0007566573,-0.0003185496,0.0005535849,0.0009834037,0.001167664,-0.0004299164,0.0007315275,0.0007889851,0.001407122,0.0006467118,-0.0002876981,0.00143276,0.0004680198,0.0002194532,0.0004333524,-3.648697e-06,0.0001277024,0.000274567,0.0002339272,0.0003789175,0.0003382,0.0005496045,-0.0004673121,-0.000255681,0.0004369897,3.093571e-06,0.0003113942,0.0004121986,5.937834e-05,-7.412722e-05,0.0002148242,-4.718107e-05,6.762912e-05,0.0008246465,0.0008953308,-0.0002052715,0.0005212717,0.0008255918,-0.0001314718,0.0002802119,0.0006766739,0.0004197006,0.0002994229,0.0007187259,0.0001271019,-0.0007062365,0.001047117,0.001452216,0.001342281,0.0001167692,-0.000333145,0.0005582386,0.0003247108,1.013861e-05,-0.0002424899,0.0002889914,0.001462411,0.0006356137,0.000755262,0.0004124922,0.00104688,0.001342645,-0.0004971743,0.001035021,0.0009014525,0.0008705675,0.001439155,0.0008092849,0.001964112,0.003208097,0.00263336,0.001815683,0.003131554,0.00177082,0.002624255,0.001529648,0.00350169,0.002618263,0.004732834,0.007598079,0.01140047,0.01843922,0.02587247,0.02672628,0.03213437,0.03305117,0.03168595,0.03728613,0.03611664,0.04490632,0.0611861,0.1890717,0.9450264,2.016179,2.024593,0.8234672,0.1368926,0.04578302,0.05274302,0.01909583,-0.03519608,0.04974292,-0.09588494,0.09120866,0.2548826,0.2492943
